Controller,Route,AuthType,Permissions
enterprise-admin.controller.ts,':id/lock',AUTH,  @Get()
enterprise-admin.controller.ts,,AUTH,  @Get()
enterprise-admin.controller.ts,':id/unlock',AUTH,  @Get()
enterprise-admin.controller.ts,,AUTH,  @Get()
enterprise-admin.controller.ts,':id/force-logout',AUTH,  @Get()
enterprise-admin.controller.ts,,AUTH,  @Get()
enterprise-admin.controller.ts,':id/force-password-reset',AUTH,  @Get()
enterprise-admin.controller.ts,,AUTH,  @Get()
enterprise-admin.controller.ts,':id/reset-mfa',AUTH,  @Get()
enterprise-admin.controller.ts,'id',AUTH,  @Get()
enterprise-admin.controller.ts,'groups',AUTH,  @Get()
enterprise-admin.controller.ts,'templates',AUTH,  @Get()
enterprise-admin.controller.ts,'from-template',AUTH,  @Get()
enterprise-admin.controller.ts,,AUTH,  @Get()
enterprise-admin.controller.ts,'roles',AUTH,  @Get()
enterprise-admin.controller.ts,,AUTH,  @Get()
enterprise-admin.controller.ts,'roles/:id',AUTH,  @Get()
enterprise-admin.controller.ts,,AUTH,  @Get()
enterprise-admin.controller.ts,'roles/:id',AUTH,  @Get()
enterprise-admin.controller.ts,,AUTH,  @Get()
enterprise-admin.controller.ts,'roles/:id',AUTH,  @Get()
enterprise-admin.controller.ts,,AUTH,  @Get()
enterprise-admin.controller.ts,'delegated-scope/:userId',AUTH,  @Get()
enterprise-admin.controller.ts,,AUTH,  @Get()
enterprise-admin.controller.ts,'temporary-permission/:userId',AUTH,  @Get()
enterprise-admin.controller.ts,,AUTH,  @Get()
enterprise-admin.controller.ts,'simulate',AUTH,  @Get()
enterprise-admin.controller.ts,,AUTH,  @Get()
enterprise-admin.controller.ts,,AUTH,  @Get()
enterprise-admin.controller.ts,,AUTH,  @Get()
enterprise-admin.controller.ts,,AUTH,  @Get()
enterprise-admin.controller.ts,,AUTH,  @Get()
enterprise-admin.controller.ts,,AUTH,  @Get()
enterprise-admin.controller.ts,,AUTH,  @Get()
enterprise-admin.controller.ts,,AUTH,  @Get()
enterprise-admin.controller.ts,,AUTH,  @Get()
enterprise-admin.controller.ts,':id',AUTH,  @Get()
enterprise-admin.controller.ts,,AUTH,  @Get()
enterprise-admin.controller.ts,':id/kill-switch',AUTH,  @Get()
enterprise-admin.controller.ts,,AUTH,  @Get()
enterprise-admin.controller.ts,,AUTH,  @Get()
enterprise-admin.controller.ts,,AUTH,  @Get()
enterprise-admin.controller.ts,'assign-plan',AUTH,  @Get()
enterprise-admin.controller.ts,,AUTH,  @Get()
enterprise-admin.controller.ts,'trucks/limit',AUTH,  @Get()
enterprise-admin.controller.ts,,AUTH,  @Get()
enterprise-admin.controller.ts,'drivers/limit',AUTH,  @Get()
enterprise-admin.controller.ts,,AUTH,  @Get()
enterprise-admin.controller.ts,'trucks/boost',AUTH,  @Get()
enterprise-admin.controller.ts,,AUTH,  @Get()
enterprise-admin.controller.ts,'unlimited',AUTH,  @Get()
enterprise-admin.controller.ts,,AUTH,  @Get()
enterprise-admin.controller.ts,'plans',AUTH,  @Get()
enterprise-admin.controller.ts,'usage',AUTH,  @Get()
enterprise-admin.controller.ts,,AUTH,  @Get()
enterprise-admin.controller.ts,'tenants',AUTH,  @Get()
enterprise-admin.controller.ts,'keys',AUTH,  @Get()
enterprise-admin.controller.ts,,AUTH,  @Get()
enterprise-admin.controller.ts,'keys',AUTH,  @Get()
enterprise-admin.controller.ts,,AUTH,  @Get()
enterprise-admin.controller.ts,'keys/:id',AUTH,  @Get()
enterprise-admin.controller.ts,,AUTH,  @Get()
enterprise-admin.controller.ts,'oauth-clients',AUTH,  @Get()
enterprise-admin.controller.ts,,AUTH,  @Get()
enterprise-admin.controller.ts,'scopes',AUTH,  @Get()
enterprise-admin.controller.ts,'webhooks',AUTH,  @Get()
enterprise-admin.controller.ts,,AUTH,  @Get()
enterprise-admin.controller.ts,'webhooks',AUTH,  @Get()
enterprise-admin.controller.ts,,AUTH,  @Get()
enterprise-admin.controller.ts,'timeline',AUTH,  @Get()
enterprise-admin.controller.ts,,AUTH,  @Get()
enterprise-admin.controller.ts,'user-timeline/:userId',AUTH,  @Get()
enterprise-admin.controller.ts,,AUTH,  @Get()
enterprise-admin.controller.ts,'security-events',AUTH,  @Get()
enterprise-admin.controller.ts,,AUTH,  @Get()
enterprise-admin.controller.ts,'compliance-report',AUTH,  @Get()
enterprise-admin.controller.ts,,AUTH,  @Get()
enterprise-admin.controller.ts,'retention',AUTH,  @Get()
enterprise-admin.controller.ts,,AUTH,  @Get()
enterprise-admin.controller.ts,'retention',AUTH,  @Get()
enterprise-admin.controller.ts,,AUTH,  @Get()
enterprise-admin.controller.ts,'purge',AUTH,  @Get()
enterprise-admin.controller.ts,,AUTH,  @Get()
enterprise-admin.controller.ts,,AUTH,  @Get()
enterprise-admin.controller.ts,,AUTH,  @Get()
enterprise-admin.controller.ts,'smtp',AUTH,  @Get()
enterprise-admin.controller.ts,,AUTH,  @Get()
enterprise-admin.controller.ts,'storage',AUTH,  @Get()
enterprise-admin.controller.ts,,AUTH,  @Get()
enterprise-admin.controller.ts,'queue',AUTH,  @Get()
enterprise-admin.controller.ts,,AUTH,  @Get()
enterprise-admin.controller.ts,'redis',AUTH,  @Get()
enterprise-admin.controller.ts,,AUTH,  @Get()
enterprise-admin.controller.ts,'cdn',AUTH,  @Get()
enterprise-admin.controller.ts,,AUTH,  @Get()
enterprise-admin.controller.ts,'maintenance',AUTH,  @Get()
enterprise-admin.controller.ts,,AUTH,  @Get()
enterprise-admin.controller.ts,,AUTH,  @Get()
enterprise-admin.controller.ts,,AUTH,  @Get()
planning.controller.ts,'run',AUTH,  @Post('run')
planning.controller.ts,,AUTH,  @Post('run')
planning.controller.ts,'today',AUTH,  @Post('run')
planning.controller.ts,,AUTH,  @Post('run')
planning.controller.ts,'items/:id/approve',AUTH,  @Post('run')
planning.controller.ts,,AUTH,  @Post('run')
planning.controller.ts,'items/:id/reject',AUTH,  @Post('run')
planning.controller.ts,,AUTH,  @Post('run')
background-jobs.controller.ts,,AUTH,
background-jobs.controller.ts,'limit',AUTH,
background-jobs.controller.ts,'active',AUTH,
background-jobs.controller.ts,,AUTH,
background-jobs.controller.ts,':id/cancel',AUTH,
roles.controller.ts,,AUTH,  @Post()
roles.controller.ts,,AUTH,  @Post()
roles.controller.ts,,AUTH,  @Post()
roles.controller.ts,,AUTH,  @Post()
roles.controller.ts,':id',AUTH,  @Post()
roles.controller.ts,'id',AUTH,  @Post()
roles.controller.ts,':id',AUTH,  @Post()
roles.controller.ts,,AUTH,  @Post()
roles.controller.ts,':id',AUTH,  @Post()
roles.controller.ts,'id',AUTH,  @Post()
metrics-platform.controller.ts,,AUTH,  @Post()
metrics-platform.controller.ts,,AUTH,  @Post()
metrics-platform.controller.ts,'query',AUTH,  @Post()
metrics-platform.controller.ts,,AUTH,  @Post()
metrics-platform.controller.ts,'dashboard',AUTH,  @Post()
metrics-platform.controller.ts,,AUTH,  @Post()
metrics-platform.controller.ts,'system',AUTH,  @Post()
metrics-platform.controller.ts,'tenant',AUTH,  @Post()
metrics-platform.controller.ts,,AUTH,  @Post()
distributed-tracing.controller.ts,'span',AUTH,  @Post('span')
distributed-tracing.controller.ts,,AUTH,  @Post('span')
distributed-tracing.controller.ts,'trace/:traceId',AUTH,  @Post('span')
distributed-tracing.controller.ts,,AUTH,  @Post('span')
distributed-tracing.controller.ts,'search',AUTH,  @Post('span')
distributed-tracing.controller.ts,,AUTH,  @Post('span')
distributed-tracing.controller.ts,'slowest',AUTH,  @Post('span')
distributed-tracing.controller.ts,,AUTH,  @Post('span')
disaster-recovery.controller.ts,'plans',AUTH,  @Post('plans')
disaster-recovery.controller.ts,,AUTH,  @Post('plans')
disaster-recovery.controller.ts,'drills',AUTH,  @Post('plans')
disaster-recovery.controller.ts,,AUTH,  @Post('plans')
disaster-recovery.controller.ts,'readiness',AUTH,  @Post('plans')
disaster-recovery.controller.ts,,AUTH,  @Post('plans')
enterprise-health.controller.ts,'global',AUTH,  @Get('global')
enterprise-health.controller.ts,,AUTH,  @Get('global')
enterprise-health.controller.ts,'api',AUTH,  @Get('global')
enterprise-health.controller.ts,,AUTH,  @Get('global')
enterprise-health.controller.ts,'database',AUTH,  @Get('global')
enterprise-health.controller.ts,'queues',AUTH,  @Get('global')
enterprise-health.controller.ts,,AUTH,  @Get('global')
alert-engine.controller.ts,'trigger',AUTH,  @Post('trigger')
alert-engine.controller.ts,,AUTH,  @Post('trigger')
alert-engine.controller.ts,':id/ack',AUTH,  @Post('trigger')
alert-engine.controller.ts,,AUTH,  @Post('trigger')
alert-engine.controller.ts,':id/resolve',AUTH,  @Post('trigger')
alert-engine.controller.ts,,AUTH,  @Post('trigger')
alert-engine.controller.ts,'maintenance-window',AUTH,  @Post('trigger')
alert-engine.controller.ts,,AUTH,  @Post('trigger')
alert-engine.controller.ts,'escalation-policy',AUTH,  @Post('trigger')
alert-engine.controller.ts,,AUTH,  @Post('trigger')
operations-dashboard.controller.ts,'snapshot',AUTH,  @Get('snapshot')
operations-dashboard.controller.ts,,AUTH,  @Get('snapshot')
performance-platform.controller.ts,'profile',AUTH,  @Post('profile')
performance-platform.controller.ts,,AUTH,  @Post('profile')
performance-platform.controller.ts,'slow-queries',AUTH,  @Post('profile')
performance-platform.controller.ts,,AUTH,  @Post('profile')
performance-platform.controller.ts,'resource-utilization',AUTH,  @Post('profile')
performance-platform.controller.ts,'cache',AUTH,  @Post('profile')
performance-platform.controller.ts,'workflows',AUTH,  @Post('profile')
performance-platform.controller.ts,,AUTH,  @Post('profile')
backup-recovery.controller.ts,'start',AUTH,  @Post('start')
backup-recovery.controller.ts,,AUTH,  @Post('start')
backup-recovery.controller.ts,':id/verify',AUTH,  @Post('start')
backup-recovery.controller.ts,,AUTH,  @Post('start')
backup-recovery.controller.ts,':id/restore',AUTH,  @Post('start')
backup-recovery.controller.ts,,AUTH,  @Post('start')
backup-recovery.controller.ts,'purge',AUTH,  @Post('start')
logging-platform.controller.ts,,AUTH,  @Post()
logging-platform.controller.ts,,AUTH,  @Post()
logging-platform.controller.ts,'search',AUTH,  @Post()
logging-platform.controller.ts,,AUTH,  @Post()
logging-platform.controller.ts,'error-groups',AUTH,  @Post()
logging-platform.controller.ts,,AUTH,  @Post()
logging-platform.controller.ts,'export',AUTH,  @Post()
logging-platform.controller.ts,,AUTH,  @Post()
incident-management.controller.ts,,AUTH,  @Post()
incident-management.controller.ts,,AUTH,  @Post()
incident-management.controller.ts,':id/status',AUTH,  @Post()
incident-management.controller.ts,,AUTH,  @Post()
incident-management.controller.ts,':id/timeline',AUTH,  @Post()
incident-management.controller.ts,,AUTH,  @Post()
incident-management.controller.ts,'metrics',AUTH,  @Post()
incident-management.controller.ts,,AUTH,  @Post()
incident-management.controller.ts,':id',AUTH,  @Post()
incident-management.controller.ts,,AUTH,  @Post()
incident-management.controller.ts,':id/postmortem',AUTH,  @Post()
incident-management.controller.ts,,AUTH,  @Post()
commercial.controller.ts,'rate-cards',AUTH,  @Post('rate-cards')
commercial.controller.ts,,AUTH,  @Post('rate-cards')
commercial.controller.ts,'quotes/:customerId',AUTH,  @Post('rate-cards')
commercial.controller.ts,,AUTH,  @Post('rate-cards')
commercial.controller.ts,'quotes/:id/submit',AUTH,  @Post('rate-cards')
commercial.controller.ts,,AUTH,  @Post('rate-cards')
commercial.controller.ts,'quotes/:id/convert',AUTH,  @Post('rate-cards')
commercial.controller.ts,,AUTH,  @Post('rate-cards')
commercial.controller.ts,'contracts',AUTH,  @Post('rate-cards')
commercial.controller.ts,,AUTH,  @Post('rate-cards')
commercial.controller.ts,'contracts/:id/activate',AUTH,  @Post('rate-cards')
commercial.controller.ts,,AUTH,  @Post('rate-cards')
commercial.controller.ts,'tenders',AUTH,  @Post('rate-cards')
commercial.controller.ts,,AUTH,  @Post('rate-cards')
commercial.controller.ts,'tenders/:tenderId/bids',AUTH,  @Post('rate-cards')
commercial.controller.ts,,AUTH,  @Post('rate-cards')
commercial.controller.ts,'tenders/:tenderId/award/:bidId',AUTH,  @Post('rate-cards')
commercial.controller.ts,,AUTH,  @Post('rate-cards')
commercial.controller.ts,'analytics/trip/:tripId/profitability',AUTH,  @Post('rate-cards')
commercial.controller.ts,,AUTH,  @Post('rate-cards')
commercial.controller.ts,'analytics/customer/:customerId/profitability',AUTH,  @Post('rate-cards')
commercial.controller.ts,,AUTH,  @Post('rate-cards')
commercial.controller.ts,'analytics/customer/:customerId/sla',AUTH,  @Post('rate-cards')
commercial.controller.ts,,AUTH,  @Post('rate-cards')
search.controller.ts,,AUTH,
exports.controller.ts,,AUTH,
exports.controller.ts,,AUTH,
exports.controller.ts,,AUTH,
exports.controller.ts,,AUTH,
dashboard.controller.ts,'ceo',AUTH,
dashboard.controller.ts,'kpis',AUTH,
dashboard.controller.ts,'vehicles',AUTH,
dashboard.controller.ts,'alerts',AUTH,
dashboard.controller.ts,'ai/recommendations',AUTH,
dashboard.controller.ts,'shipments',AUTH,
orders.controller.ts,,AUTH,
dashboard-builder.controller.ts,,AUTH,
dashboard-builder.controller.ts,,AUTH,
dashboard-builder.controller.ts,':id',AUTH,
dashboard-builder.controller.ts,':id/widgets',AUTH,
dashboard-builder.controller.ts,':id/widgets/layout',AUTH,
dashboard-builder.controller.ts,':id/widgets/:widgetId',AUTH,
settings.controller.ts,'organization',AUTH,
integrations.controller.ts,'configure',AUTH,  @Post('configure')
integrations.controller.ts,,AUTH,  @Post('configure')
integrations.controller.ts,'sync',AUTH,  @Post('configure')
integrations.controller.ts,,AUTH,  @Post('configure')
integrations.controller.ts,,AUTH,  @Post('configure')
integrations.controller.ts,,AUTH,  @Post('configure')
webhook.controller.ts,'incoming/:provider/:connectionId',AUTH,
gateway.controller.ts,'health',AUTH,
gateway.controller.ts,'loads',AUTH,
driver-expenses.controller.ts,,AUTH,
driver-expenses.controller.ts,,AUTH,
driver-expenses.controller.ts,'trips/:id',AUTH,
driver-expenses.controller.ts,,AUTH,
driver-telemetry.controller.ts,'location',AUTH,
driver-telemetry.controller.ts,,AUTH,
driver-trips.controller.ts,'active',AUTH,
driver-trips.controller.ts,,AUTH,
driver-trips.controller.ts,':id/status',AUTH,
driver-trips.controller.ts,,AUTH,
driver-checklists.controller.ts,'trips/:id',AUTH,
driver-checklists.controller.ts,,AUTH,
portals.controller.ts,'support-tickets',AUTH,  @Post('support-tickets')
portals.controller.ts,,AUTH,  @Post('support-tickets')
portals.controller.ts,'support-tickets',AUTH,  @Post('support-tickets')
portals.controller.ts,,AUTH,  @Post('support-tickets')
portals.controller.ts,'leave-requests',AUTH,  @Post('support-tickets')
portals.controller.ts,,AUTH,  @Post('support-tickets')
portals.controller.ts,'leave-requests',AUTH,  @Post('support-tickets')
portals.controller.ts,,AUTH,  @Post('support-tickets')
customer-loads.controller.ts,'active',AUTH,
customer-loads.controller.ts,,AUTH,
customer-loads.controller.ts,'history',AUTH,
customer-loads.controller.ts,,AUTH,
customer-tracking.controller.ts,':loadId',AUTH,
customer-tracking.controller.ts,,AUTH,
customer-finance.controller.ts,'invoices',AUTH,
customer-finance.controller.ts,,AUTH,
customer-finance.controller.ts,'summary',AUTH,
customer-finance.controller.ts,,AUTH,
customer-analytics.controller.ts,'kpis',AUTH,
customer-analytics.controller.ts,,AUTH,
vendor-settlements.controller.ts,'bills',AUTH,
vendor-settlements.controller.ts,,AUTH,
vendor-settlements.controller.ts,'kpis',AUTH,
vendor-settlements.controller.ts,,AUTH,
vendor-marketplace.controller.ts,'tenders',AUTH,
vendor-marketplace.controller.ts,,AUTH,
vendor-marketplace.controller.ts,'tenders/:id/bid',AUTH,
vendor-marketplace.controller.ts,,AUTH,
vendor-operations.controller.ts,'assigned',AUTH,
vendor-operations.controller.ts,,AUTH,
vendor-operations.controller.ts,'assigned/:id/pod',AUTH,
vendor-operations.controller.ts,,AUTH,
claims.controller.ts,,AUTH,  @Post()
claims.controller.ts,,AUTH,  @Post()
claims.controller.ts,,AUTH,  @Post()
claims.controller.ts,,AUTH,  @Post()
claims.controller.ts,':id',AUTH,  @Post()
claims.controller.ts,,AUTH,  @Post()
claims.controller.ts,':id/status',AUTH,  @Post()
claims.controller.ts,,AUTH,  @Post()
iam.controller.ts,'api-keys',AUTH,
iam.controller.ts,'api-keys/:id',AUTH,
iam.controller.ts,'oauth-clients',AUTH,
iam.controller.ts,'pats',AUTH,
iam.controller.ts,'pats/:id',AUTH,
iam.controller.ts,'oauth/token',AUTH,
fastag-wallet.controller.ts,,AUTH,
fastag-wallet.controller.ts,,AUTH,
fastag-wallet.controller.ts,':id',AUTH,
fastag-wallet.controller.ts,':id',AUTH,
fastag-wallet.controller.ts,':id',AUTH,
support.controller.ts,'ticket',AUTH,
simulator.controller.ts,'start',AUTH,
simulator.controller.ts,,AUTH,
sandbox.controller.ts,'generate-mock-data',AUTH,
mobile.controller.ts,'trips/active',AUTH,  @Get('trips/active')
mobile.controller.ts,,AUTH,  @Get('trips/active')
mobile.controller.ts,'trips/:id/status',AUTH,  @Get('trips/active')
mobile.controller.ts,,AUTH,  @Get('trips/active')
mobile.controller.ts,'loads/:id/status',AUTH,  @Get('trips/active')
mobile.controller.ts,,AUTH,  @Get('trips/active')
mobile.controller.ts,'location',AUTH,  @Get('trips/active')
mobile.controller.ts,,AUTH,  @Get('trips/active')
mobile.controller.ts,'sync',AUTH,  @Get('trips/active')
mobile.controller.ts,,AUTH,  @Get('trips/active')
mobile.controller.ts,'upload/:type',AUTH,  @Get('trips/active')
mobile.controller.ts,,AUTH,  @Get('trips/active')
sdk.controller.ts,'generate/:language',AUTH,
sdk.controller.ts,'download/:filename',AUTH,
ai.controller.ts,'workflow/generate',AUTH,  @Post('workflow/generate')
ai.controller.ts,'recommend/:domain/:id',AUTH,  @Post('workflow/generate')
ai.controller.ts,,AUTH,  @Post('workflow/generate')
ai.controller.ts,'interact',AUTH,  @Post('workflow/generate')
ai.controller.ts,,AUTH,  @Post('workflow/generate')
ai.controller.ts,'recommendation/:id/accept',AUTH,  @Post('workflow/generate')
ai.controller.ts,,AUTH,  @Post('workflow/generate')
ai.controller.ts,'metrics',AUTH,  @Post('workflow/generate')
ai.controller.ts,,AUTH,  @Post('workflow/generate')
ai.controller.ts,'copilot/sessions',AUTH,  @Post('workflow/generate')
ai.controller.ts,,AUTH,  @Post('workflow/generate')
ai.controller.ts,'copilot/sessions',AUTH,  @Post('workflow/generate')
ai.controller.ts,,AUTH,  @Post('workflow/generate')
ai.controller.ts,'copilot/sessions/:sessionId/messages',AUTH,  @Post('workflow/generate')
ai.controller.ts,,AUTH,  @Post('workflow/generate')
ai.controller.ts,'copilot/sessions/:sessionId/chat',AUTH,  @Post('workflow/generate')
ai.controller.ts,,AUTH,  @Post('workflow/generate')
ai.controller.ts,,AUTH,  @Post('workflow/generate')
ai.controller.ts,'copilot/daily-brief',AUTH,  @Post('workflow/generate')
ai.controller.ts,,AUTH,  @Post('workflow/generate')
ai.controller.ts,'copilot/summarize/:entityType/:entityId',AUTH,  @Post('workflow/generate')
ai.controller.ts,,AUTH,  @Post('workflow/generate')
ai.controller.ts,'documents/extract',AUTH,  @Post('workflow/generate')
ai.controller.ts,,AUTH,  @Post('workflow/generate')
ai.controller.ts,'dispatch/predict',AUTH,  @Post('workflow/generate')
ai.controller.ts,,AUTH,  @Post('workflow/generate')
ai.controller.ts,'workflow/execute',AUTH,  @Post('workflow/generate')
ai.controller.ts,,AUTH,  @Post('workflow/generate')
ai.controller.ts,'workflow/execution/:executionId/approve/:stepId',AUTH,  @Post('workflow/generate')
ai.controller.ts,,AUTH,  @Post('workflow/generate')
ai.controller.ts,'workflow/execution/:executionId/reject/:stepId',AUTH,  @Post('workflow/generate')
ai.controller.ts,,AUTH,  @Post('workflow/generate')
ai.controller.ts,'workflow/executions',AUTH,  @Post('workflow/generate')
ai.controller.ts,,AUTH,  @Post('workflow/generate')
ai.controller.ts,'agents',AUTH,  @Post('workflow/generate')
ai.controller.ts,'models',AUTH,  @Post('workflow/generate')
ai.controller.ts,'models/templates',AUTH,  @Post('workflow/generate')
ai.controller.ts,'memory/stats',AUTH,  @Post('workflow/generate')
ai.controller.ts,'memory/workspace',AUTH,  @Post('workflow/generate')
ai.controller.ts,,AUTH,  @Post('workflow/generate')
ai.controller.ts,'governance/compliance-report',AUTH,  @Post('workflow/generate')
ai.controller.ts,,AUTH,  @Post('workflow/generate')
ai.controller.ts,'feedback',AUTH,  @Post('workflow/generate')
ai.controller.ts,,AUTH,  @Post('workflow/generate')
ai.controller.ts,'report-hallucination',AUTH,  @Post('workflow/generate')
ai.controller.ts,,AUTH,  @Post('workflow/generate')
ai.controller.ts,'agents/:agentName/health',AUTH,  @Post('workflow/generate')
workflow.controller.ts,'rules/simulate',AUTH,  @Post('rules/simulate')
workflow.controller.ts,,AUTH,  @Post('rules/simulate')
workflow.controller.ts,'rules/import',AUTH,  @Post('rules/simulate')
workflow.controller.ts,,AUTH,  @Post('rules/simulate')
workflow.controller.ts,'rules/export',AUTH,  @Post('rules/simulate')
workflow.controller.ts,,AUTH,  @Post('rules/simulate')
workflow.controller.ts,'rules',AUTH,  @Post('rules/simulate')
workflow.controller.ts,,AUTH,  @Post('rules/simulate')
workflow.controller.ts,'rules',AUTH,  @Post('rules/simulate')
workflow.controller.ts,,AUTH,  @Post('rules/simulate')
workflow.controller.ts,'rules/:id',AUTH,  @Post('rules/simulate')
